variable,dominio,tipo_semántico,tipo_pandas,nulls,null_pct,n_unique,min,max,ejemplos,rango,significado,relevancia
Target,resultado,categórico nominal (multiclase),object,109,2.46,3,,,"Dropout, Graduate, Enrolled",,"Resultado académico final (Dropout, Enrolled, Graduate).",Variable objetivo (clasificación multiclase).
Curricular.units.1st.sem..approved.,académico,categórica discreta / código,int64,0,0.0,23,0.0,26.0,"0, 6, 5, 7, 4",0.0 — 26.0,Unidades aprobadas 1er semestre.,Indicador directo de éxito inicial.
Curricular.units.1st.sem..credited.,académico,categórica discreta / código,int64,0,0.0,21,0.0,20.0,"0, 2, 3, 6, 7",0.0 — 20.0,Número de unidades con créditos asignados en 1er semestre.,Refleja carga reconocida; relacionada con progreso.
Curricular.units.1st.sem..enrolled.,académico,categórica discreta / código,int64,0,0.0,23,0.0,26.0,"0, 6, 5, 7, 8",0.0 — 26.0,Unidades matriculadas 1er semestre.,Carga académica inicial; exceso puede aumentar riesgo.
Curricular.units.1st.sem..evaluations.,académico,categórica discreta / código,int64,0,0.0,35,0.0,45.0,"0, 6, 8, 9, 10",0.0 — 45.0,Número de evaluaciones realizadas 1er semestre.,Actividad evaluativa; densidad puede indicar compromiso.
Curricular.units.1st.sem..grade.,académico,cuantitativa continua,float64,0,0.0,797,0.0,18.875,"0.0, 14.0, 13.4285714285714, 12.3333333333333, 11.8571428571429",0.0 — 18.875,Promedio de calificaciones 1er semestre.,Fuerte predictor temprano de trayectoria y retención.
Curricular.units.1st.sem..without.evaluations.,académico,categórica discreta / código,int64,0,0.0,11,0.0,12.0,"0, 1, 2, 4, 3",0.0 — 12.0,Unidades sin evaluaciones cursadas 1er semestre.,Ausencia de evaluaciones puede indicar deserción temprana.
Curricular.units.2nd.sem..approved.,académico,categórica discreta / código,int64,0,0.0,20,0.0,20.0,"0, 6, 5, 8, 2",0.0 — 20.0,Unidades aprobadas 2do semestre.,Consolida desempeño; útil para detectar deterioro (H2).
Curricular.units.2nd.sem..credited.,académico,categórica discreta / código,int64,0,0.0,19,0.0,19.0,"0, 1, 2, 5, 7",0.0 — 19.0,Créditos asignados en 2do semestre.,Progreso acumulado; compara con 1er semestre.
Curricular.units.2nd.sem..enrolled.,académico,categórica discreta / código,int64,0,0.0,22,0.0,23.0,"0, 6, 5, 8, 7",0.0 — 23.0,Unidades matriculadas 2do semestre.,Persistencia en carga académica; cambios señalan ajuste o riesgo.
Curricular.units.2nd.sem..evaluations.,académico,categórica discreta / código,int64,0,0.0,30,0.0,33.0,"0, 6, 10, 17, 8",0.0 — 33.0,Evaluaciones realizadas 2do semestre.,Continuidad en participación académica.
Curricular.units.2nd.sem..grade.,académico,cuantitativa continua,float64,0,0.0,782,0.0,18.5714285714286,"0.0, 13.6666666666667, 12.4, 13.0, 11.5",0.0 — 18.5714285714286,Promedio de calificaciones 2do semestre.,Comparar con 1er semestre para tendencia de rendimiento.
Curricular.units.2nd.sem..without.evaluations.,académico,categórica discreta / código,int64,0,0.0,10,0.0,12.0,"0, 5, 2, 1, 3",0.0 — 12.0,Unidades sin evaluaciones 2do semestre.,Aumento puede anticipar abandono.
Age.at.enrollment,demográfico,categórica discreta / código,int64,0,0.0,46,17.0,70.0,"20, 19, 45, 50, 18",17.0 — 70.0,Edad al momento de la matrícula.,Edades atípicas (muy altas/bajas) pueden asociarse a trayectorias no tradicionales.
Gender,demográfico,categórica binaria,int64,0,0.0,2,0.0,1.0,"1, 0",0.0 — 1.0,Género codificado (0/1).,Puede aparecer en patrones pero debe manejarse éticamente; evitar discriminación.
Marital.status,demográfico,ordinal discreta,int64,0,0.0,6,1.0,6.0,"1, 2, 4, 3, 5",1.0 — 6.0,Estado civil del estudiante al momento de la matrícula (codificado).,Puede correlacionar con estabilidad y cargas familiares que influyen en permanencia.
Nacionality,demográfico,categórica discreta / código,int64,0,0.0,21,1.0,21.0,"1, 15, 3, 14, 12",1.0 — 21.0,Nacionalidad del estudiante (codificada).,Puede capturar diferencias culturales o administrativas; cuidado con sesgos.
Debtor,socioeconómico,categórica binaria,int64,0,0.0,2,0.0,1.0,"0, 1",0.0 — 1.0,Tiene deudas pendientes con la institución.,Problemas financieros se correlacionan con probabilidad de abandono.
Scholarship.holder,socioeconómico,categórica binaria,int64,0,0.0,2,0.0,1.0,"0, 1",0.0 — 1.0,Posee beca.,La beca reduce presión financiera y puede mejorar retención.
Tuition.fees.up.to.date,socioeconómico,categórica binaria,int64,0,0.0,2,0.0,1.0,"1, 0",0.0 — 1.0,Pagos de matrícula al día.,Indicador inverso de riesgo financiero inmediato.
Father.s.occupation,familiar,categórica discreta / código,int64,0,0.0,46,1.0,46.0,"10, 4, 8, 11, 6",1.0 — 46.0,Ocupación principal del padre.,Refuerza perfil socioeconómico familiar.
Father.s.qualification,familiar,categórica discreta / código,int64,0,0.0,34,1.0,34.0,"10, 3, 27, 28, 1",1.0 — 34.0,Nivel educativo del padre.,Similar a la madre; útil combinado para índice socioeducativo.
Mother.s.occupation,familiar,categórica discreta / código,int64,0,0.0,32,1.0,32.0,"6, 4, 10, 8, 5",1.0 — 32.0,Ocupación principal de la madre.,Indicador socioeconómico complementario.
Mother.s.qualification,familiar,categórica discreta / código,int64,0,0.0,29,1.0,29.0,"13, 1, 22, 23, 3",1.0 — 29.0,Nivel educativo de la madre.,Proxy de capital cultural y apoyo académico en el hogar.
Displaced,condición,categórica binaria,int64,0,0.0,2,0.0,1.0,"1, 0",0.0 — 1.0,Estudiante desplazado (cambio forzado de residencia).,Factor de vulnerabilidad que puede aumentar riesgo de abandono.
Educational.special.needs,condición,categórica binaria,int64,0,0.0,2,0.0,1.0,"0, 1",0.0 — 1.0,Necesidades educativas especiales declaradas.,Puede requerir apoyos adicionales; asociada a desempeño variable.
International,condición,categórica binaria,int64,0,0.0,2,0.0,1.0,"0, 1",0.0 — 1.0,Estudiante internacional.,Adaptación cultural/idioma puede afectar retención.
