,Marital.status,Application.mode,Application.order,Course,Daytime.evening.attendance,Previous.qualification,Nacionality,Mother.s.qualification,Father.s.qualification,Mother.s.occupation,Father.s.occupation,Displaced,Educational.special.needs,Debtor,Tuition.fees.up.to.date,Gender,Scholarship.holder,Age.at.enrollment,International,Curricular.units.1st.sem..credited.,Curricular.units.1st.sem..enrolled.,Curricular.units.1st.sem..evaluations.,Curricular.units.1st.sem..approved.,Curricular.units.1st.sem..grade.,Curricular.units.1st.sem..without.evaluations.,Curricular.units.2nd.sem..credited.,Curricular.units.2nd.sem..enrolled.,Curricular.units.2nd.sem..evaluations.,Curricular.units.2nd.sem..approved.,Curricular.units.2nd.sem..grade.,Curricular.units.2nd.sem..without.evaluations.,Unemployment.rate,Inflation.rate,GDP,Target,flag_out_Application.order,flag_out_Mother.s.occupation,flag_out_Father.s.occupation,flag_out_Age.at.enrollment,flag_out_Curricular.units.1st.sem..enrolled.,flag_out_Curricular.units.1st.sem..evaluations.,flag_out_Curricular.units.1st.sem..approved.,flag_out_Curricular.units.1st.sem..grade.,flag_out_Curricular.units.2nd.sem..enrolled.,flag_out_Curricular.units.2nd.sem..evaluations.,flag_out_Curricular.units.2nd.sem..approved.,flag_out_Curricular.units.2nd.sem..grade.
1,1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,1,0,0,0,1,0,0,1,1,0,0,1
2,1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.6666666666667,0,13.9,-0.3,0.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,1,0,0,0,0,0,0,1,0,0,0,1
4,1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,8,6,13.4285714285714,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
5,2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,9,5,12.3333333333333,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,0,0,0,1,0,0,0,0,0,0,0,0
6,2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,10,5,11.8571428571429,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,0,0,0,1,0,0,0,0,0,1,0,0
7,1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
8,1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,1,0,0,0,0,0,0,1,0,0,0,1
9,1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.1428571428571,0,16.2,0.3,-0.92,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,6,6,12.3333333333333,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
12,1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,7,13.2142857142857,0,0,8,8,7,13.2142857142857,0,12.7,3.7,-1.7,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
13,1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,0,0,0,0,0,0,0,1,0,0,0,1
14,1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,7,6,10.5714285714286,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
15,1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,0,0,0,0,0,0,0,0,0,0,0,0
16,1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,0,0,0,0,0,0,0,0,0,0,0,1
